Taxa_NCBI,domain,kingdom,phylum,class,order,family,genus,subgenus,species,subspecies,varietas,forma
228813,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema franchetianum,NA,NA,NA
227498,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema heterophyllum,NA,NA,NA
78371,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Arisaema,NA,Arisaema triphyllum,NA,NA,NA
1419728,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,NA,Colocasia esculenta,NA,Colocasia esculenta var. antiquorum,NA
4460,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Colocasia,NA,Colocasia esculenta,NA,NA,NA
42196,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Dieffenbachia,NA,Dieffenbachia seguine,NA,NA,NA
174209,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Dracontium,NA,Dracontium polyphyllum,NA,NA,NA
78380,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Epipremnum,NA,Epipremnum aureum,NA,NA,NA
1804071,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Homalomena,NA,Homalomena aromatica,NA,NA,NA
174217,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Monstera,NA,Monstera deliciosa,NA,NA,NA
405628,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Philodendron,NA,Philodendron verrucosum,NA,NA,NA
199225,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Pinellia,NA,Pinellia ternata,NA,NA,NA
4477,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Pistia,NA,Pistia stratiotes,NA,NA,NA
258281,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Rhaphidophora,NA,Rhaphidophora decursiva,NA,NA,NA
2840175,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Scindapsus,NA,Scindapsus officinalis,NA,NA,NA
85269,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Spathiphyllum,NA,Spathiphyllum wallisii,NA,NA,NA
29656,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Spirodela,NA,Spirodela polyrhiza,NA,NA,NA
201273,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Syngonium,NA,NA,NA,NA,NA
227257,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Typhonium,NA,Typhonium trilobatum,NA,NA,NA
227487,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Typhonodorum,NA,Typhonodorum lindleyanum,NA,NA,NA
28478,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Xanthosoma,NA,Xanthosoma sagittifolium,NA,NA,NA
78374,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Araceae,Zamioculcas,NA,Zamioculcas zamiifolia,NA,NA,NA
13078,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Halodule,NA,Halodule wrightii,NA,NA,NA
29648,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Cymodoceaceae,Syringodium,NA,Syringodium filiforme,NA,NA,NA
62340,Eukaryota,Viridiplantae,Streptophyta,Magnoliopsida,Alismatales,Hydrocharitaceae,Hydrocharis,NA,Hydrocharis dubia,NA,NA,NA
