filename,Category
P5_E5_288,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_E1_603,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_E11_594,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_C7_570,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_C9_245,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P6_D1_273,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_E6_274,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_D10_670,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_G5_713,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_E3_292,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P5_A1_148,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_A1_668,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_E1_698,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_E9_711,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_A11_706,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P2_C8_706,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_C8_703,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P7_E8_623,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer
P4_C7_671,Root > Personal Care > Cosmetics > Skin Care > Makeup Removers
P4_B12_699,Root > Personal Care > Cosmetics > Skin Care > Makeup Removers
P1_G5_147_20240523135656,Root > Personal Care > Cosmetics > Skin Care > Serum
P3_D12_564,Root > Personal Care > Cosmetics > Skin Care > Serum
P1_G6_206,Root > Personal Care > Cosmetics > Skin Care > Serum
P6_C5_250,Root > Personal Care > Cosmetics > Skin Care > Serum
P3_E8_561,Root > Personal Care > Cosmetics > Skin Care > Serum
P7_B11_71,Root > Personal Care > Cosmetics > Skin Care > Serum
P7_D7_666,Root > Personal Care > Cosmetics > Skin Care > Serum
P1_C9_487,Root > Personal Care > Cosmetics > Skin Care > Serum
P7_F5_652,Root > Personal Care > Cosmetics > Skin Care > Serum
P6_A9_280,Root > Personal Care > Cosmetics > Skin Care > Serum
P6_A1_271,Root > Personal Care > Cosmetics > Skin Care > Serum
P7_B12_60,Root > Personal Care > Cosmetics > Skin Care > Serum
P2_C9_658,Root > Personal Care > Cosmetics > Skin Care > Serum
P2_A9_669,Root > Personal Care > Cosmetics > Skin Care > Serum
P4_B11_709,Root > Personal Care > Cosmetics > Skin Care > Serum
P5_A5_149,Root > Personal Care > Cosmetics > Skin Care > Serum
P6_A10_306,Root > Personal Care > Cosmetics > Skin Care > Serum
P1_D6_499,Root > Personal Care > Cosmetics > Skin Care > Serum
P5_A6_161,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P5_A7_136,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P5_A4_150,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P1_C7_524,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P7_E6_677,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P2_C12_721,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P2_C4_549,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P2_B7_701,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P4_B6_700,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P7_D11_12,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels
P7_A2_446,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P4_A3_372,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A1_438,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_E10_238,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_E6_566,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A4_433,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_G4_655,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P1_E10_492,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A7_449,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_E4_568,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P6_C10_263,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P5_E7_267,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P1_F2_79,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P6_E2_418,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P4_E9_83,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P1_E9_502,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_E9_64,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P6_E8_455,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_E5_569,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P2_A12_531,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P5_D6_35,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A10_225,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P4_E7_601,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P2_B6_588,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P2_B10_654,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P2_A2_728,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_G2_248,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_D5_37,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_D12_9,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P1_F7_103,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_G3_674,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A6_434,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P6_E9_437,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P1_D4_maybe486,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P7_A3_435,Root > Personal Care > Cosmetics > Skin Care > Sunscreen
P3_A4_47,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P1_E2_508,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P6_B10_84,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P1_D7_483,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P6_A2_281,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P6_B8_235,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P4_D5_393,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P6_A4_305,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P1_G1_212,Root > Personal Care > Cosmetics > Skin Care > Toners & Astringents
P1_G3_171,Root > Personal Care > Deodorant & Anti-Perspirant
P1_C4_480,Root > Personal Care > Hair Care
P3_B6_598,Root > Personal Care > Hair Care
P2_B3_722,Root > Personal Care > Hair Care
P3_B1_596,Root > Personal Care > Hair Care
P3_B3_600,Root > Personal Care > Hair Care
P3_B8_556,Root > Personal Care > Hair Care
P1_B2_521,Root > Personal Care > Hair Care
P5_B5_295,Root > Personal Care > Hair Care
P6_D2_287,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P5_A8_172,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P5_D11_243,Root > Personal Care > Hair Care > Hair Styling Products > Cream
P5_C1_314,Root > Personal Care > Hair Care > Curl Cream
P5_B2_293,Root > Personal Care > Hair Care > Curl Cream
P6_B1_277,Root > Personal Care > Hair Care > Hair masque
P3_E3_565,Root > Personal Care > Hair Care > Hair masque
