basefilename	cluster_scan	dataset_id	filename	metadata
5793813.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_02_RAW_Data/5793813.mzML	 
5700234.mzML	41739	MSV000088087	f.MSV000088087/ccms_peak/RAW_Data/Plate_01_RAW_Data/5700234.mzML	 
Tube_167.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_167.mzML	 
Tube_166.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_166.mzML	 
Tube_164.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_164.mzML	 
Tube_160.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_160.mzML	 
Tube_159.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_159.mzML	 
Tube_155.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_155.mzML	 
Tube_153.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_153.mzML	 
Tube_151.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_151.mzML	 
Tube_149.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_149.mzML	 
Tube_146.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_146.mzML	 
Tube_142.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_142.mzML	 
Tube_137.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_137.mzML	 
Tube_131.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_131.mzML	 
Tube_127.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_127.mzML	 
Tube_120.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_120.mzML	 
Tube_116.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_116.mzML	 
Tube_113.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_113.mzML	 
Tube_108.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_108.mzML	 
Tube_106.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_106.mzML	 
Tube_105.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_105.mzML	 
Tube_104.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_104.mzML	 
Tube_100.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_100.mzML	 
Tube_096.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_096.mzML	 
Tube_091.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_091.mzML	 
Tube_090.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_090.mzML	 
Tube_089.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_089.mzML	 
Tube_088.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_088.mzML	 
Tube_087.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_087.mzML	 
Tube_085.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_085.mzML	 
Tube_084.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_084.mzML	 
Tube_079.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_079.mzML	 
Tube_076.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_076.mzML	 
Tube_073_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_073_RERUNS.mzML	 
Tube_070.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_070.mzML	 
Tube_067.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_067.mzML	 
Tube_065.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_065.mzML	 
Tube_062.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_062.mzML	 
Tube_060.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_060.mzML	 
Tube_059.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_059.mzML	 
Tube_058.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_058.mzML	 
Tube_055_RERUNS.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_055_RERUNS.mzML	 
Tube_051.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_051.mzML	 
Tube_050.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_050.mzML	 
Tube_048_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_048_RERUNS.mzML	 
Tube_046.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_046.mzML	 
Tube_045.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_045.mzML	 
Tube_044.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_044.mzML	 
Tube_041.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_041.mzML	 
Tube_038.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_038.mzML	 
Tube_037.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_037.mzML	 
Tube_036_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_036_RERUNS.mzML	 
Tube_030.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_030.mzML	 
Tube_027.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_027.mzML	 
Tube_026.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_026.mzML	 
Tube_024_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_024_RERUNS.mzML	 
Tube_023_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_023_RERUNS.mzML	 
Tube_021.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_021.mzML	 
Tube_019.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_019.mzML	 
Tube_017_RERUNS.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_017_RERUNS.mzML	 
Tube_016.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_016.mzML	 
Tube_013.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_013.mzML	 
Tube_011.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_011.mzML	 
Tube_010.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_010.mzML	 
Tube_006.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_006.mzML	 
Tube_003.mzML	68210	MSV000087942	f.MSV000087942/ccms_peak/Plate_02_RAW/Tube_003.mzML	 
Tube_001.mzML	68145	MSV000087942	f.MSV000087942/ccms_peak/Plate_01_RAW/Tube_001.mzML	 
X00176745.mzML	70286	MSV000087612	f.MSV000087612/ccms_peak/Plate02/X00176745.mzML	 
X00176703.mzML	70286	MSV000087612	f.MSV000087612/ccms_peak/Plate02/X00176703.mzML	 
X00176603.mzML	70286	MSV000087612	f.MSV000087612/ccms_peak/Plate02/X00176603.mzML	 
91.mzML	70286	MSV000087612	f.MSV000087612/ccms_peak/Plate01/91.mzML	 
19E.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/19E.mzML	 
19D.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/19D.mzML	 
19C.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/19C.mzML	 
19B.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/19B.mzML	 
18E.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/18E.mzML	 
18D.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/18D.mzML	 
18C.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/18C.mzML	 
18B.mzML	339	MSV000087523	f.MSV000087523/ccms_peak/pos QE/18B.mzML	 
ECG_1_21C_BD2_01_56967.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_21C_BD2_01_56967.mzML	 
ECG_1_20C_BC7_01_56964.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_20C_BC7_01_56964.mzML	 
ECG_1_19E_BC3_01_56958.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_19E_BC3_01_56958.mzML	 
ECG_1_19D_BC2_01_56957.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_19D_BC2_01_56957.mzML	 
ECG_1_19C_BC1_01_56956.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_19C_BC1_01_56956.mzML	 
ECG_1_19B_BB8_01_56955.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_19B_BB8_01_56955.mzML	 
ECG_1_19A_BB7_01_56954.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_19A_BB7_01_56954.mzML	 
ECG_1_18E_BB5_01_56949.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_18E_BB5_01_56949.mzML	 
ECG_1_18D_BB4_01_56948.mzML	6360	MSV000087522	f.MSV000087522/ccms_peak/pos/ECG_1_18D_BB4_01_56948.mzML	 
