,NCBI
1085,1652081
1086,165346
1087,1656278
1088,165774
1089,166048
1090,16611
1091,1661780
1092,1663611
1093,1664513
1094,1667295
1095,16681
1096,1670796
1097,16714
1098,16718
1099,16719
1100,16727
1101,16728
1102,16733
1103,167337
1104,16736
1105,16737
1106,16739
1107,167391
1108,167422
1109,16748
1110,167483
1111,167484
1112,167485
1113,167487
1114,167488
1115,167489
1116,167490
1117,167496
1118,167498
1119,167500
1120,167502
1121,16751
1122,16752
1123,167587
1124,167616
1125,167711
1126,1678924
1127,1679265
1128,168002
1129,168006
1130,168011
1131,168062
1132,168063
1133,168082
1134,168083
1135,168179
1136,168182
1137,168508
1138,168547
1139,168566
1140,16900
1141,16901
1142,16902
1143,16906
1144,16914
1145,169191
1146,169195
1147,169196
1148,169197
1149,169201
1150,169205
1151,169244
1152,169248
1153,169263
1154,169264
1155,169267
1156,169268
1157,169273
1158,169379
1159,169386
1160,169520
1161,169617
1162,169618
1163,169619
1164,169623
1165,169625
1166,169626
1167,169642
1168,169650
1169,169655
1170,169659
1171,169660
1172,169663
1173,169697
1174,169698
1175,169700
1176,169704
1177,169705
1178,169712
1179,169746
1180,1699106
1181,1699513
1182,1699523
1183,1699524
1184,169984
1185,170017
1186,170020
1187,170021
1188,170031
1189,170033
1190,1701078
1191,170183
1192,170351
1193,17047
1194,1705100
1195,1705104
1196,1705105
1197,1705106
1198,1705107
1199,1705963
1200,1705973
1201,170727
1202,170927
1203,170989
1204,171014
1205,1712202
1206,171222
1207,171249
1208,1713640
1209,171637
1210,171638
1211,1718242
1212,1718245
1213,171896
1214,171928
1215,171929
1216,171939
1217,172216
1218,172267
1219,172644
1220,1728959
1221,173671
1222,173691
1223,173697
1224,173701
1225,173849
1226,174172
1227,174181
1228,174187
1229,174208
1230,174209
1231,174216
1232,174217
1233,174221
1234,1744888
1235,1745183
1236,174649
1237,174651
1238,174652
1239,1747696
1240,1747698
1241,1750992
1242,1750993
1243,175189
1244,175219
1245,175518
1246,1755451
1247,1756151
1248,175767
1249,176265
1250,1763416
1251,176578
1252,176579
1253,176612
1254,176637
1255,176641
1256,177241
1257,1775857
1258,1776954
1259,178107
1260,178120
1261,1781618
1262,178174
1263,1784723
1264,178803
1265,179718
1266,179724
1267,179860
1268,1799599
1269,180062
1270,180118
1271,1801580
1272,1801593
1273,1801599
1274,1801601
1275,1804071
1276,1804184
1277,1804185
1278,1804186
1279,1804188
1280,1804190
1281,1804191
1282,1804192
1283,1804193
1284,1804194
1285,1804195
1286,1804196
1287,1804197
1288,1804199
1289,1804200
1290,1804201
1291,1804202
1292,1804203
1293,1804204
1294,1804205
1295,1804206
1296,1804207
1297,1804623
1298,180562
1299,1806640
1300,1806641
1301,1806642
1302,1807087
1303,180758
1304,180766
1305,181180
1306,181181
1307,181188
1308,181189
1309,1812990
1310,1813006
1311,1813008
1312,1813037
1313,1813042
1314,1813050
1315,1813079
1316,1813096
1317,1816314
1318,1816315
1319,1816319
1320,1816320
1321,1816321
1322,1816322
1323,1816324
1324,1816325
1325,1818588
1326,1819382
1327,1819795
1328,182070
1329,182083
1330,182084
1331,182112
1332,182129
1333,1821800
1334,1822417
1335,182312
1336,182371
1337,182387
1338,182393
1339,182415
1340,1824555
1341,1824618
1342,1826628
1343,1827075
1344,182998
1345,182999
1346,183010
1347,183075
1348,183092
1349,183218
1350,183220
1351,183260
1352,183267
1353,183277
1354,183296
1355,1835378
1356,183561
1357,184173
1358,1842752
1359,184278
1360,1842781
1361,184783
1362,185054
1363,185152
1364,185202
1365,185357
1366,185530
1367,185542
1368,185559
1369,185702
1370,185704
1371,185705
1372,185975
1373,1861783
1374,186265
1375,186272
1376,186273
1377,186770
1378,186771
1379,187150
1380,187269
1381,1872703
1382,187339
1383,187341
1384,187365
1385,187368
1386,187374
1387,1874399
1388,1874405
1389,1874412
1390,187506
1391,1879238
1392,1879252
1393,18794
1394,188482
1395,188516
1396,188561
1397,1886502
1398,1886507
1399,1886510
1400,1887462
1401,188810
1402,1890273
1403,1890297
1404,1891613
1405,189164
1406,189216
1407,189220
1408,189247
1409,1892693
1410,1895897
1411,189791
1412,1898543
1413,1898705
1414,1898706
1415,1898882
1416,190240
1417,190244
1418,190247
1419,190249
1420,190259
1421,1904788
1422,1904792
1423,1904978
1424,1905032
1425,1905569
1426,1905744
1427,190583
1428,1906254
1429,1906730
1430,1906731
1431,190802
1432,1908689
1433,190902
1434,1909378
1435,191224
1436,19151
1437,191652
1438,191659
1439,191702
1440,1917730
1441,191885
1442,191889
1443,191904
1444,191925
1445,191941
1446,19205
1447,192327
1448,1924180
1449,1927081
1450,1927082
1451,1927084
1452,1927085
1453,1927087
1454,1927091
1455,192877
1456,1930810
1457,1930869
1458,1930879
1459,193163
1460,193311
1461,193312
1462,1933508
1463,1933510
1464,193516
1465,1937584
1466,1937619
1467,1937630
1468,1940509
1469,194200
1470,194251
1471,194252
1472,194253
1473,194260
1474,194274
1475,194322
1476,194871
1477,1948872
1478,1948874
1479,195526
1480,195583
1481,1958840
1482,1960964
1483,1962496
1484,1962698
1485,1963009
1486,1963083
1487,1963084
1488,196576
1489,196577
1490,196578
1491,196579
1492,196580
1493,196581
1494,196582
1495,196584
1496,196585
1497,196673
1498,196689
1499,196734
1500,1968268
1501,1968271
1502,1968429
1503,1972872
1504,197385
1505,1977604
1506,1977916
1507,1977917
1508,197796
1509,1977990
1510,1978182
1511,197934
1512,1981914
1513,1982031
1514,198767
1515,198768
1516,198771
1517,198777
1518,198778
1519,198794
1520,1987974
1521,198816
1522,198826
1523,198827
1524,198854
1525,198914
1526,199151
1527,199163
1528,199165
1529,199218
1530,199219
1531,199225
1532,19952
1533,19953
1534,19955
1535,199623
1536,199658
1537,20008
1538,20019
1539,20025
1540,2004445
1541,200537
1542,200946
1543,200947
1544,200992
1545,200993
1546,201004
1547,201005
1548,201006
1549,201009
1550,201010
1551,201011
1552,201012
1553,201020
