,NCBI
4659,72341
4660,72351
4661,72377
4662,72383
4663,72384
4664,72402
4665,72403
4666,72647
4667,72934
4668,72935
4669,72968
4670,72977
4671,73102
4672,73103
4673,73121
4674,73152
4675,73200
4676,73496
4677,742010
4678,742011
4679,74353
4680,745062
4681,745067
4682,745069
4683,745087
4684,74613
4685,74635
4686,74638
4687,74645
4688,74647
4689,74652
4690,74656
4691,74663
4692,74694
4693,748691
4694,748693
4695,748694
4696,748704
4697,74951
4698,74952
4699,74957
4700,74959
4701,74960
4702,75062
4703,75079
4704,75085
4705,751800
4706,751853
4707,754105
4708,756371
4709,756587
4710,75708
4711,75714
4712,75947
4713,75954
4714,75960
4715,76024
4716,76025
4717,761058
4718,761062
4719,761070
4720,761083
4721,76154
4722,76277
4723,76306
4724,76373
4725,76374
4726,764175
4727,76434
4728,76442
4729,76444
4730,76500
4731,76578
4732,76950
4733,76958
4734,76966
4735,77005
4736,77014
4737,77035
4738,77049
4739,77069
4740,77071
4741,77072
4742,77325
4743,77338
4744,77871
4745,77872
4746,77879
4747,77880
4748,77882
4749,77886
4750,77892
4751,77893
4752,77900
4753,77903
4754,77912
4755,78168
4756,78191
4757,78371
4758,78372
4759,78373
4760,78374
4761,78377
4762,78464
4763,78511
4764,78532
4765,78534
4766,78536
4767,78630
4768,78632
4769,78706
4770,78707
4771,79002
4772,79021
4773,79022
4774,79235
4775,79255
4776,79318
4777,79331
4778,795077
4779,795080
4780,79558
4781,79559
4782,79560
4783,79578
4784,796002
4785,796003
4786,796950
4787,79772
4788,79830
4789,798326
4790,79850
4791,79854
4792,79855
4793,80276
4794,80299
4795,80335
4796,80336
4797,80903
4798,81733
4799,81964
4800,81982
4801,82047
4802,82096
4803,82113
4804,82154
4805,82156
4806,82207
4807,82213
4808,82270
4809,82318
4810,82382
4811,82397
4812,82403
4813,82411
4814,82426
4815,82445
4816,82453
4817,82454
4818,82456
4819,82457
4820,82502
4821,82528
4822,82530
4823,82715
4824,82716
4825,82956
4826,83153
4827,83154
4828,83431
4829,83582
4830,83598
4831,83607
4832,83711
4833,83716
4834,83725
4835,83734
4836,83819
4837,83905
4838,83906
4839,83936
4840,83937
4841,83938
4842,83946
4843,84005
4844,84009
4845,84209
4846,84858
4847,84860
4848,84861
4849,85159
4850,85180
4851,85181
4852,85191
4853,85195
4854,85204
4855,85206
4856,85208
4857,85215
4858,85216
4859,85222
4860,85223
4861,85232
4862,85238
4863,85249
4864,85258
4865,85281
4866,85282
4867,85284
4868,85293
4869,85297
4870,85351
4871,85363
4872,85571
4873,85692
4874,85712
4875,85717
4876,85718
4877,857597
4878,85855
4879,85856
4880,858905
4881,86093
4882,861395
4883,864330
4884,864332
4885,86640
4886,86643
4887,866800
4888,867486
4889,86858
4890,86864
4891,86982
4892,870738
4893,871999
4894,872014
4895,872542
4896,87658
4897,87753
4898,877976
4899,879919
4900,88036
4901,882917
4902,883765
4903,883772
4904,883796
4905,886583
4906,886697
4907,886714
4908,886729
4909,886730
4910,886734
4911,886939
4912,88726
4913,88849
4914,891976
4915,89629
4916,89630
4917,89639
4918,90308
4919,90309
4920,90363
4921,90364
4922,90446
4923,90460
4924,904691
4925,905076
4926,90593
4927,90707
4928,908227
4929,909164
4930,909202
4931,91062
4932,91082
4933,91095
4934,91097
4935,91112
4936,91118
4937,911294
4938,911296
4939,911341
4940,91155
4941,91200
4942,91201
4943,91211
4944,91214
4945,91227
4946,91246
4947,912968
4948,91507
4949,91508
4950,91516
4951,91518
4952,91812
4953,91829
4954,91834
4955,91835
4956,91836
4957,91882
4958,91883
4959,91888
4960,91889
4961,91896
4962,928046
4963,928660
4964,92905
4965,92910
4966,92914
4967,92915
4968,92920
4969,92921
4970,92927
4971,930814
4972,931318
4973,932098
4974,93292
4975,93293
4976,93750
4977,93751
4978,93752
4979,93758
4980,93765
4981,93787
4982,93788
4983,93803
4984,939152
4985,93976
4986,93977
4987,940967
4988,941537
4989,942061
4990,94285
4991,94286
4992,94326
4993,94327
4994,94328
4995,943292
4996,94334
4997,94345
4998,94350
4999,94356
5000,94377
5001,94378
5002,94550
5003,947883
5004,947889
5005,948959
5006,96273
5007,96295
5008,96479
5009,96512
5010,96520
5011,97007
5012,97174
5013,97234
5014,97748
5015,97751
5016,980193
5017,981071
5018,983179
5019,983182
5020,983245
5021,983543
5022,983927
5023,983930
5024,983931
5025,98504
5026,986140
5027,986195
5028,986196
5029,986250
5030,98683
5031,98722
5032,98727
5033,98745
5034,99019
5035,99028
5036,99036
5037,99037
5038,99071
5039,99072
5040,99105
5041,992795
5042,992860
5043,992868
5044,99291
5045,99293
5046,99294
5047,99295
5048,99299
5049,99300
5050,993106
5051,99386
5052,99434
5053,994668
5054,99568
5055,99813
5056,99814
5057,999456
5058,999631
5059,999635
5060,999642
