name,rank,id
Virola sebifera,species,224866
Magnoliales,order,3400
Myristicaceae,family,22274
Virola,genus,224865
Jacaranda copaia,species,228396
Bignoniaceae,family,24079
Jacaranda,genus,83946
Cecropia insignis,species,241854
Cecropia,genus,77071
Poulsenia armata,species,241910
Poulsenia,genus,241909
Sorocea affinis,species,241920
Sorocea,genus,241919
Protium tenuifolium,species,246834
Burseraceae,family,4014
Protium,genus,173697
Inga punctata,species,247899
Miconia octona,species,263242
Melastomataceae,family,39998
Miconia,genus,263288
Miconia argentea,species,263291
Miconia impetiolaris,species,263301
Miconia prasina,species,263308
Anaxagorea panamensis,species,287593
Annonaceae,family,22140
Anaxagorea,genus,224846
Guatteria dumetorum,species,295159
Guatteria,genus,295145
Piper aequale,species,405316
Piper cordulatum,species,405321
Miconia dentata,species,427154
Miconia affinis,species,427217
Handroanthus guayacan,species,429699
Handroanthus,genus,1288022
Oenocarpus mapora,species,446121
Arecales,order,40551
Arecaceae,family,4710
Oenocarpus,genus,169984
Pterocarpus rohrii,species,450040
Pterocarpus,genus,100169
Swartzia simplex var. continentalis,varietas,450273
Inga marginata,species,468147
Miconia elata,species,477065
Pombalia prunifolia,species,482942
Violaceae,family,24921
Pombalia,genus,1895897
Inga acuminata,species,486047
Inga cocleensis,species,486055
Inga goldmanii,species,486059
Inga multijuga,species,486070
Inga nobilis,species,486071
Inga oerstediana,species,486073
Inga pezizifera,species,486075
Inga ruiziana,species,486076
Inga sapindoides,species,486078
Inga spectabilis,species,486084
Inga thibaudiana,species,486087
Inga umbellifera,species,486089
Inga vera,species,486092
Inga laurina,species,487684
Beilschmiedia pendula,species,489013
Beilschmiedia,genus,88849
Ocotea cernua,species,489020
Ocotea oblonga,species,489022
Ocotea puberula,species,489023
Ocotea purpurea,species,1930895
Ocotea whitei,species,489024
Piper colonense,species,511538
Piper perlasense,species,538325
Piper schiedeanum,species,538345
Psychotria psychotriifolia,species,564598
Hieronyma alchorneoides,species,597304
Phyllanthaceae,family,233880
Hieronyma,genus,300995
Anacardium excelsum,species,638922
Anacardium,genus,171928
Trichilia tuberculata,species,638923
Trichilia,genus,43894
Acalypha diversifolia,species,681400
Acalypha,genus,20025
Alseis blackiana,species,681405
Alseis,genus,86982
Apeiba membranacea,species,681408
Apeiba,genus,82397
Aspidosperma spruceanum,species,681412
Apocynaceae,family,4056
Aspidosperma,genus,84858
Cordia lasiocalyx,species,681426
Boraginales,order,1538097
Cordiaceae,family,1561080
Cordia,genus,79331
Cupania seemannii,species,681430
Cupania,genus,289800
Desmopsis panamensis,species,681431
Desmopsis,genus,235721
Dipteryx oleifera,species,681432
Dipteryx,genus,53872
Eugenia coloradoensis,species,681436
Myrtaceae,family,3931
Eugenia,genus,119950
Eugenia galalonensis,species,681437
Eugenia nesiotica,species,681438
Eugenia oerstediana,species,681439
Guarea grandifolia,species,681442
Hirtella triandra,species,681448
Chrysobalanaceae,family,22973
Hirtella,genus,82154
Maquira guianensis,species,681459
Maquira,genus,241888
Miconia dorsiloba,species,681462
Miconia hondurensis,species,681463
Miconia nervosa,species,681464
Mouriri myrtilloides,species,681466
Mouriri,genus,40017
Ouratea lucens,species,681473
Ochnaceae,family,56627
Ouratea,genus,58891
Picramnia latifolia,species,681474
Picramniales,order,629768
Picramniaceae,family,85159
Picramnia,genus,85238
Pouteria reticulata,species,681476
Sapotaceae,family,3737
Pouteria,genus,85249
Protium confusum,species,681478
Protium costaricense,species,681479
Protium panamense,species,681480
Palicourea cyanococca,species,681483
Quararibea asterolepis,species,681484
Quararibea,genus,66659
Rinorea sylvatica,species,681486
Rinorea,genus,85258
Sloanea terniflora,species,681488
Oxalidales,order,71243
Elaeocarpaceae,family,26000
Sloanea,genus,45190
Stylogyne turbacensis,species,681493
Primulaceae,family,4335
Stylogyne,genus,59986
Tabernaemontana arborea,species,681494
Tabernaemontana,genus,52860
Tachigali versicolor,species,681495
Tachigali,genus,53927
Xylopia macrantha,species,681506
Xylopia,genus,225838
Guarea bullata,species,1125920
Miconia trichocalyx,species,2884811
Pinus,genus,3337
Pinopsida,class,58019
Pinales,order,1446380
Pinaceae,family,3318
Persea,genus,3434
Persea americana,species,3435
Papaver,genus,3468
Papaveraceae,family,3465
Cannabis,genus,3482
Cannabis sativa,species,3483
Humulus lupulus,species,3486
Humulus,genus,3484
Ficus,genus,3493
Spinacia,genus,3561
Spinacia oleracea,species,3562
Vitis,genus,3603
rosids incertae sedis,no rank,91834
Vitales,order,403667
Vitaceae,family,3602
Fagopyrum,genus,3616
Polygonaceae,family,3615
Fagopyrum esculentum,species,3617
Rheum rhabarbarum,species,3621
Rheum,genus,3620
Actinidia deliciosa,species,3627
Actinidiaceae,family,3623
Actinidia,genus,3624
Bertholletia excelsa,species,3645
Lecythidaceae,family,3642
Bertholletia,genus,3644
Carica,genus,3648
Caricaceae,family,3647
Citrullus,genus,3653
Cucurbitales,order,71239
Cucurbitaceae,family,3650
Cucumis,genus,3655
Cucumis melo,species,3656
Cucumis sativus,species,3659
Cucurbita,genus,3660
Cucurbita pepo,species,3663
Passiflora,genus,3684
Passifloraceae,family,3683
Brassica rapa,species,3711
Brassica oleracea,species,3712
Raphanus,genus,3725
Fragaria,genus,3746
Fragaria x ananassa,species,3747
Malus domestica,species,3750
Prunus,genus,3754
Prunus dulcis,species,3755
Prunus domestica,species,3758
Prunus persica,species,3760
Rosa,genus,3764
Rosoideae incertae sedis,no rank,1176516
Pyrus,genus,3766
Arachis,genus,3817
Arachis hypogaea,species,3818
Cicer,genus,3826
Cicer arietinum,species,3827
Glycine,genus,3846
Glycine max,species,3847
Glycine subgen. Soja,subgenus,1462606
Lathyrus sativus,species,3860
Lathyrus,genus,3853
Lens culinaris,species,3864
Lens,genus,3863
