MassIVE,Filename,node_id,file_usi
MSV000084900,18NAVY27_V1_ALL_GE3_01_39852.mzXML,complex,mzspec:MSV000084900:18NAVY27_V1_ALL_GE3_01_39852
MSV000084900,18NAVY27_V1_breakfast_GD8_01_39847.mzXML,complex,mzspec:MSV000084900:18NAVY27_V1_breakfast_GD8_01_39847
MSV000084900,18NAVY27_v1_brk_1_BA3_01_39771.mzXML,fruit,mzspec:MSV000084900:18NAVY27_v1_brk_1_BA3_01_39771
MSV000084900,18NAVY27_v1_brk_2_BB3_01_39772.mzXML,plant,mzspec:MSV000084900:18NAVY27_v1_brk_2_BB3_01_39772
MSV000084900,18NAVY27_v1_lun_1_rerun_BB4_01_39706.mzXML,grain/grass,mzspec:MSV000084900:18NAVY27_v1_lun_1_rerun_BB4_01_39706
MSV000084900,18NAVY27_v1_lun_2_rerun_BC4_01_39707.mzXML,red grape,mzspec:MSV000084900:18NAVY27_v1_lun_2_rerun_BC4_01_39707
MSV000084900,18NAVY27_v1_lun_3_rerun_BD4_01_39690.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY27_v1_lun_3_rerun_BD4_01_39690
MSV000084900,18NAVY27_v1_lun_4_BE4_01_39691.mzXML,plant,mzspec:MSV000084900:18NAVY27_v1_lun_4_BE4_01_39691
MSV000084900,18NAVY27_v1_lun_5_BF4_01_39692.mzXML,potato,mzspec:MSV000084900:18NAVY27_v1_lun_5_BF4_01_39692
MSV000084900,18NAVY27_v1_lun_6_BG4_01_39693.mzXML,turkey,mzspec:MSV000084900:18NAVY27_v1_lun_6_BG4_01_39693
MSV000084900,18NAVY27_v1_lun_7_BH4_01_39694.mzXML,complex,mzspec:MSV000084900:18NAVY27_v1_lun_7_BH4_01_39694
MSV000084900,18NAVY27_V1_lunch_GE2_01_39849.mzXML,complex,mzspec:MSV000084900:18NAVY27_V1_lunch_GE2_01_39849
MSV000084900,18NAVY27_V1_snack_GD7_01_39848.mzXML,complex,mzspec:MSV000084900:18NAVY27_V1_snack_GD7_01_39848
MSV000084900,18NAVY27_v1_snk_1_BG2_01_39782.mzXML,plant,mzspec:MSV000084900:18NAVY27_v1_snk_1_BG2_01_39782
MSV000084900,18NAVY27_v1_snk_2_BH2_01_39783.mzXML,peanut,mzspec:MSV000084900:18NAVY27_v1_snk_2_BH2_01_39783
MSV000084900,18NAVY27_v1_sup_1_BC3_01_39735.mzXML,complex,mzspec:MSV000084900:18NAVY27_v1_sup_1_BC3_01_39735
MSV000084900,18NAVY27_v1_sup_2_BD3_01_39729.mzXML,plant,mzspec:MSV000084900:18NAVY27_v1_sup_2_BD3_01_39729
MSV000084900,18NAVY27_v1_sup_3_BE3_01_39730.mzXML,fruit,mzspec:MSV000084900:18NAVY27_v1_sup_3_BE3_01_39730
MSV000084900,18NAVY27_v1_sup_4_BF3_01_39731.mzXML,complex,mzspec:MSV000084900:18NAVY27_v1_sup_4_BF3_01_39731
MSV000084900,18NAVY27_v1_sup_5_BG3_01_39732.mzXML,complex,mzspec:MSV000084900:18NAVY27_v1_sup_5_BG3_01_39732
MSV000084900,18NAVY27_v1_sup_6_BH3_01_39787.mzXML,fruit,mzspec:MSV000084900:18NAVY27_v1_sup_6_BH3_01_39787
MSV000084900,18NAVY27_v1_sup_7_BA4_01_39734.mzXML,complex,mzspec:MSV000084900:18NAVY27_v1_sup_7_BA4_01_39734
MSV000084900,18NAVY27_V1_supper_GE1_01_39850.mzXML,complex,mzspec:MSV000084900:18NAVY27_V1_supper_GE1_01_39850
MSV000084900,18NAVY27_V2_ALL_GC4_01_39826.mzXML,complex,mzspec:MSV000084900:18NAVY27_V2_ALL_GC4_01_39826
MSV000084900,18NAVY27_V2_breakfast_GC1_01_39821.mzXML,complex,mzspec:MSV000084900:18NAVY27_V2_breakfast_GC1_01_39821
MSV000084900,18NAVY27_v2_brk_1_rerun_GB8_01_39670.mzXML,complex,mzspec:MSV000084900:18NAVY27_v2_brk_1_rerun_GB8_01_39670
MSV000084900,18NAVY27_v2_brk_2_rerun_GC8_01_39671.mzXML,plant,mzspec:MSV000084900:18NAVY27_v2_brk_2_rerun_GC8_01_39671
MSV000084900,18NAVY27_v2_brk_3_GD8_01_39556.mzXML,fruit,mzspec:MSV000084900:18NAVY27_v2_brk_3_GD8_01_39556
MSV000084900,18NAVY27_v2_lun_1_GF8_01_39646.mzXML,complex,mzspec:MSV000084900:18NAVY27_v2_lun_1_GF8_01_39646
MSV000084900,18NAVY27_v2_lun_2_GG8_01_39649.mzXML,turkey,mzspec:MSV000084900:18NAVY27_v2_lun_2_GG8_01_39649
MSV000084900,18NAVY27_v2_lun_3_GH8_01_39647.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY27_v2_lun_3_GH8_01_39647
MSV000084900,18NAVY27_v2_lun_4_GA9_01_39645.mzXML,green grape,mzspec:MSV000084900:18NAVY27_v2_lun_4_GA9_01_39645
MSV000084900,18NAVY27_v2_lun_5_GB9_01_39648.mzXML,complex,mzspec:MSV000084900:18NAVY27_v2_lun_5_GB9_01_39648
MSV000084900,18NAVY27_V2_lunch_GC3_01_39823.mzXML,complex,mzspec:MSV000084900:18NAVY27_V2_lunch_GC3_01_39823
MSV000084900,18NAVY27_V2_snack_GB8_01_39822.mzXML,complex,mzspec:MSV000084900:18NAVY27_V2_snack_GB8_01_39822
MSV000084900,18NAVY27_v2_snk_1_GH7_01_39524.mzXML,plant,mzspec:MSV000084900:18NAVY27_v2_snk_1_GH7_01_39524
MSV000084900,18NAVY27_v2_snk_2_GA8_01_39525.mzXML,peanut,mzspec:MSV000084900:18NAVY27_v2_snk_2_GA8_01_39525
MSV000084900,18NAVY27_v2_sup_1_GE8_01_39600.mzXML,complex,mzspec:MSV000084900:18NAVY27_v2_sup_1_GE8_01_39600
MSV000084900,18NAVY27_V2_supper_GC2_01_39824.mzXML,complex,mzspec:MSV000084900:18NAVY27_V2_supper_GC2_01_39824
MSV000084900,18NAVY28_V1_ALL_rerun_GD6_01_39877.mzXML,complex,mzspec:MSV000084900:18NAVY28_V1_ALL_rerun_GD6_01_39877
MSV000084900,18NAVY28_V1_breakfast_GD3_01_39836.mzXML,complex,mzspec:MSV000084900:18NAVY28_V1_breakfast_GD3_01_39836
MSV000084900,18NAVY28_v1_brk_1_rerun_GG11_01_39669.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY28_v1_brk_1_rerun_GG11_01_39669
MSV000084900,18NAVY28_v1_brk_2_GH11_01_39565.mzXML,wheat,mzspec:MSV000084900:18NAVY28_v1_brk_2_GH11_01_39565
MSV000084900,18NAVY28_v1_brk_3_GA12_01_39566.mzXML,black bean,mzspec:MSV000084900:18NAVY28_v1_brk_3_GA12_01_39566
MSV000084900,18NAVY28_v1_brk_4_GB12_01_39567.mzXML,plant,mzspec:MSV000084900:18NAVY28_v1_brk_4_GB12_01_39567
MSV000084900,18NAVY28_v1_brk_5_GC12_01_39569.mzXML,complex,mzspec:MSV000084900:18NAVY28_v1_brk_5_GC12_01_39569
MSV000084900,18NAVY28_v1_brk_6_GD12_01_39568.mzXML,plant,mzspec:MSV000084900:18NAVY28_v1_brk_6_GD12_01_39568
MSV000084900,18NAVY28_v1_lun_1_BC2_01_39682.mzXML,ham,mzspec:MSV000084900:18NAVY28_v1_lun_1_BC2_01_39682
MSV000084900,18NAVY28_v1_lun_2_BD2_01_39683.mzXML,peanut,mzspec:MSV000084900:18NAVY28_v1_lun_2_BD2_01_39683
MSV000084900,18NAVY28_v1_lun_3_BE2_01_39680.mzXML,cheddar cheese,mzspec:MSV000084900:18NAVY28_v1_lun_3_BE2_01_39680
MSV000084900,18NAVY28_v1_lun_4_BF2_01_39681.mzXML,grain/grass,mzspec:MSV000084900:18NAVY28_v1_lun_4_BF2_01_39681
MSV000084900,18NAVY28_V1_lunch_GD5_01_39841.mzXML,complex,mzspec:MSV000084900:18NAVY28_V1_lunch_GD5_01_39841
MSV000084900,18NAVY28_V1_snack_GD2_01_39837.mzXML,complex,mzspec:MSV000084900:18NAVY28_V1_snack_GD2_01_39837
MSV000084900,18NAVY28_v1_snk_1_GB11_01_39530.mzXML,complex,mzspec:MSV000084900:18NAVY28_v1_snk_1_GB11_01_39530
MSV000084900,18NAVY28_v1_snk_2_GC11_01_39531.mzXML,complex,mzspec:MSV000084900:18NAVY28_v1_snk_2_GC11_01_39531
MSV000084900,18NAVY28_v1_snk_3_GD11_01_39532.mzXML,carrot,mzspec:MSV000084900:18NAVY28_v1_snk_3_GD11_01_39532
MSV000084900,18NAVY28_v1_snk_4_GE11_01_39533.mzXML,green grape,mzspec:MSV000084900:18NAVY28_v1_snk_4_GE11_01_39533
MSV000084900,18NAVY28_v1_snk_5_GF11_01_39534.mzXML,plant,mzspec:MSV000084900:18NAVY28_v1_snk_5_GF11_01_39534
