file_usi,MassIVE,Filename,Category,node_id
mzspec:MSV000095003:P5_A7_136,MSV000095003,P5_A7_136.mzML,Root > Personal Care > Cosmetics > Skin Care > Skin Care Masks & Peels,Skin Care Masks & Peels
mzspec:MSV000095003:P5_A8_172,MSV000095003,P5_A8_172.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P5_A9_137,MSV000095003,P5_A9_137.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_B10_301,MSV000095003,P5_B10_301.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095003:P5_B11_278,MSV000095003,P5_B11_278.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap,Hand Soap
mzspec:MSV000095003:P5_B12_312,MSV000095003,P5_B12_312.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_B1_303,MSV000095003,P5_B1_303.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P5_B2_293,MSV000095003,P5_B2_293.mzML,Root > Personal Care > Hair Care > Curl Cream,Curl Cream
mzspec:MSV000095003:P5_B3_294,MSV000095003,P5_B3_294.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_B4_283,MSV000095003,P5_B4_283.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel,Hairgel
mzspec:MSV000095003:P5_B5_295,MSV000095003,P5_B5_295.mzML,Root > Personal Care > Hair Care,Hair Care
mzspec:MSV000095003:P5_B6_300,MSV000095003,P5_B6_300.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P5_B7_304,MSV000095003,P5_B7_304.mzML,Root > Personal Care > Cosmetics > Skin Care,Skin Care
mzspec:MSV000095003:P5_B8_279,MSV000095003,P5_B8_279.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095003:P5_B9_299,MSV000095003,P5_B9_299.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P5_C10_209,MSV000095003,P5_C10_209.mzML,Root > Home & Garden > Household Supplies > Household Cleaning Supplies > Dish Washing Liquid,Dish Washing Liquid
mzspec:MSV000095003:P5_C11_139,MSV000095003,P5_C11_139.mzML,Root > Personal Care > Health Care > Pain Relieve,Pain Relieve
mzspec:MSV000095003:P5_C12_197,MSV000095003,P5_C12_197.mzML,Root > Personal Care > Cosmetics > Skin Care,Skin Care
mzspec:MSV000095003:P5_C1_314,MSV000095003,P5_C1_314.mzML,Root > Personal Care > Hair Care > Curl Cream,Curl Cream
mzspec:MSV000095003:P5_C2_309,MSV000095003,P5_C2_309.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Anti frizz product,Anti frizz product
mzspec:MSV000095003:P5_C3_297,MSV000095003,P5_C3_297.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Conditioner,Conditioner
mzspec:MSV000095003:P5_C4_313,MSV000095003,P5_C4_313.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_C5_302,MSV000095003,P5_C5_302.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P5_C6_311,MSV000095003,P5_C6_311.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Anti frizz product,Anti frizz product
mzspec:MSV000095003:P5_C7_208,MSV000095003,P5_C7_208.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
mzspec:MSV000095003:P5_C8_174,MSV000095003,P5_C8_174.mzML,Root > Personal Care > Hair Care > Shampoo & Conditioner > Shampoo,Shampoo
mzspec:MSV000095003:P5_C9_186,MSV000095003,P5_C9_186.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P5_D10_34,MSV000095003,P5_D10_34.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_D11_243,MSV000095003,P5_D11_243.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Cream,Cream
mzspec:MSV000095003:P5_D12_38,MSV000095003,P5_D12_38.mzML,Root > Personal Care > Cosmetics > Bath & Body > Hand Creme,Hand Creme
mzspec:MSV000095003:P5_D1_151,MSV000095003,P5_D1_151.mzML,Root > Personal Care > Hair Care > Hair Styling Products > Hairgel,Hairgel
mzspec:MSV000095003:P5_D2_196,MSV000095003,P5_D2_196.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_D3_185,MSV000095003,P5_D3_185.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_D4_173,MSV000095003,P5_D4_173.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash > Hand Soap,Hand Soap
mzspec:MSV000095003:P5_D5_244,MSV000095003,P5_D5_244.mzML,Root > Personal Care > Oral Care > Toothpaste,Toothpaste
mzspec:MSV000095003:P5_D6_35,MSV000095003,P5_D6_35.mzML,Root > Personal Care > Cosmetics > Skin Care > Sunscreen,Sunscreen
mzspec:MSV000095003:P5_D7_33,MSV000095003,P5_D7_33.mzML,Root > Personal Care > Cosmetics > Bath & Body > Moisturizer > Eye cream,Eye cream
mzspec:MSV000095003:P5_D8_253,MSV000095003,P5_D8_253.mzML,Root > Personal Care > Cosmetics > Bath & Body > Body Wash,Body Wash
mzspec:MSV000095003:P5_D9_32,MSV000095003,P5_D9_32.mzML,Root > Personal Care > Cosmetics > Skin Care > Facial Cleanser,Facial Cleanser
mzspec:MSV000095003:P5_E10_B1,MSV000095003,P5_E10_B1.mzML,Root > Blank > Method Blank,Method Blank
mzspec:MSV000095003:P5_E11_B2,MSV000095003,P5_E11_B2.mzML,Root > Blank > Method Blank,Method Blank
mzspec:MSV000095003:P5_E12_B3,MSV000095003,P5_E12_B3.mzML,Root > Blank > Method Blank,Method Blank
mzspec:MSV000095003:P5_E1_252,MSV000095003,P5_E1_252.mzML,Root > Personal Care > Oral Care > Mouthwash,Mouthwash
mzspec:MSV000095003:P5_E2_237,MSV000095003,P5_E2_237.mzML,Root > Personal Care > Cosmetics > Perfume & Cologne,Perfume & Cologne
mzspec:MSV000095003:P5_E3_292,MSV000095003,P5_E3_292.mzML,Root > Personal Care > Cosmetics > Skin Care > Lotion & Moisturizer,Lotion & Moisturizer
